symbol,date,three,seven,thirty_one,up_down
002249.SZ,20251017,0.8596968,2.5122032,10.355773,13.727673
002026.SZ,20251017,1.2639453,2.2538068,7.3993826,10.917135
603019.SS,20251017,0.0335809,1.9784195,8.260996,10.272997
000425.SZ,20251017,0.7692626,1.9657874,6.5894356,9.324486
002241.SZ,20251017,0.30043715,2.0854623,6.44182,8.82772
300049.SZ,20251017,0.33039716,1.9490962,6.294382,8.573875
688681.SS,20251017,0.5954047,1.5411289,5.5998526,7.7363863
300306.SZ,20251017,0.5481116,2.2624624,4.1999006,7.0104747
603606.SS,20251017,0.64940256,0.8287977,5.2214947,6.6996946
300433.SZ,20251017,0.098172426,2.1813872,4.3561325,6.635692
000060.SZ,20251017,0.54293305,1.3768053,4.6769333,6.5966716
603181.SS,20251017,0.52583545,1.3444474,4.6222124,6.4924955
300002.SZ,20251017,-0.014473962,0.7211726,5.683715,6.3904133
000970.SZ,20251017,0.55682784,1.3065398,4.450224,6.3135915
300400.SZ,20251017,0.33378896,1.403647,4.5562496,6.2936854
603203.SS,20251017,0.039936244,2.1008196,4.1263494,6.267105
002056.SZ,20251017,0.7410602,1.6485713,3.864691,6.2543225
002273.SZ,20251017,0.13785458,3.3857741,2.528329,6.0519576
603259.SS,20251017,0.21522447,-0.16257438,5.987624,6.040274
002144.SZ,20251017,0.60151094,0.7821872,4.650237,6.0339355
600160.SS,20251017,0.5210726,1.5307635,3.9420588,5.9938946
002028.SZ,20251017,0.22658059,0.6746948,4.8358603,5.737136
600699.SS,20251017,0.3909929,0.3938385,4.811507,5.5963387
600835.SS,20251017,-0.22025341,0.76872396,4.755047,5.3035173
002558.SZ,20251017,0.49897373,0.97937644,3.7582405,5.2365904
603127.SS,20251017,0.14975724,0.7710662,4.2893505,5.210174
002283.SZ,20251017,0.11683312,0.9562992,4.1229477,5.19608
603013.SS,20251017,1.1364133,1.6313055,2.405372,5.173091
002020.SZ,20251017,0.23579204,0.9139309,3.907832,5.0575547
002236.SZ,20251017,0.49233967,0.931231,3.628999,5.0525694
300018.SZ,20251017,0.613846,2.3740926,2.0059898,4.9939284
002782.SZ,20251017,0.4399283,0.8965275,3.6155398,4.951996
600999.SS,20251017,0.47740698,1.0699859,3.3532999,4.900693
002043.SZ,20251017,0.20658135,0.94612813,3.6646206,4.8173304
300408.SZ,20251017,0.27539852,0.42017332,3.9051387,4.6007104
603989.SS,20251017,0.3952474,1.3239307,2.8531349,4.5723133
300573.SZ,20251017,-0.28909364,0.2779065,4.5834465,4.5722594
600497.SS,20251017,0.62468594,1.3038473,2.6202366,4.54877
300699.SZ,20251017,1.0947734,0.7667688,2.598896,4.4604383
000063.SZ,20251017,0.37235755,0.5758549,3.5029624,4.4511747
002947.SZ,20251017,0.6180164,1.3753303,2.4526331,4.44598
000408.SZ,20251017,0.44184038,1.2879056,2.6714318,4.401178
603758.SS,20251017,0.6899494,1.469096,2.2209027,4.3799477
600980.SS,20251017,0.4123362,0.99931204,2.7414815,4.1531296
600282.SS,20251017,0.47780696,0.9454143,2.7052777,4.128499
002222.SZ,20251017,0.4058472,1.8868833,1.8291147,4.1218452
603699.SS,20251017,0.6725858,0.53593683,2.8170788,4.0256014
601336.SS,20251017,0.39340925,1.2595961,2.3702192,4.023225
300660.SZ,20251017,0.57425046,1.355443,2.0595074,3.9892008
603823.SS,20251017,0.72734565,1.0296941,2.198798,3.9558377
601958.SS,20251017,0.6257114,0.6837535,2.6204402,3.9299052
600769.SS,20251017,0.35345513,1.0224419,2.5443044,3.9202013
603160.SS,20251017,0.23691604,1.4150305,2.2159712,3.8679178
600563.SS,20251017,0.443001,0.7493689,2.6007926,3.7931626
002152.SZ,20251017,0.26732153,0.919225,2.600291,3.7868376
002415.SZ,20251017,0.31167343,0.69143045,2.768462,3.771566
688663.SS,20251017,0.040620297,0.7008344,2.9658632,3.7073178
688579.SS,20251017,0.5943377,0.40894237,2.661589,3.6648688
600570.SS,20251017,0.2603877,0.54472744,2.8542817,3.6593966
603058.SS,20251017,0.42855307,2.579561,0.5604497,3.568564
