symbol,endDate,three,seven,thirty_one,dcf
300015.SZ,20250630,0.44758177,0.92330074,4.389489,5.7603717
600396.SS,20250630,0.30238613,0.62548363,4.228246,5.156116
600983.SS,20250630,-0.23621584,0.18154249,4.7581778,4.7035046
300138.SZ,20250630,0.2698222,0.7340733,3.5410464,4.544942
002318.SZ,20250630,0.26143038,0.78879654,3.2164702,4.266697
002233.SZ,20250630,0.1944213,0.1834968,3.815734,4.193652
603040.SS,20250630,0.16017003,0.7212621,3.1925676,4.074
002020.SZ,20250630,0.15425363,-0.03758058,3.9471035,4.0637765
300039.SZ,20250630,0.18037666,0.5397837,3.3350034,4.055164
000895.SZ,20250630,0.22887753,0.76217616,2.9857082,3.9767618
600572.SS,20250630,0.032311756,0.65996027,3.1115112,3.8037832
300446.SZ,20250630,0.101062074,-0.0329006,3.687521,3.7556825
002415.SZ,20250630,0.16286291,0.6753607,2.9033365,3.74156
002083.SZ,20250630,0.16636609,0.47910944,3.072496,3.7179713
000975.SZ,20250630,0.08517055,0.5376574,3.0862517,3.7090797
002410.SZ,20250630,0.2036109,0.51593626,2.940198,3.6597452
000682.SZ,20250630,0.3047398,0.537712,2.7712731,3.613725
600926.SS,20250630,0.3247832,0.609928,2.6498365,3.5845478
001202.SZ,20250630,0.1256788,0.8910295,2.5078318,3.52454
600188.SS,20250630,0.23645385,0.6339332,2.6538048,3.5241919
000739.SZ,20250630,0.28361744,0.2965791,2.9260836,3.50628
300563.SZ,20250630,0.1181732,0.84516084,2.5330064,3.4963405
300693.SZ,20250630,0.2470236,0.43675867,2.8099039,3.4936862
603006.SS,20250630,0.23319279,0.5154494,2.7184894,3.4671316
601997.SS,20250630,0.3189545,0.7190615,2.3914053,3.4294214
300898.SZ,20250630,0.19953333,0.6566416,2.5482135,3.4043884
603589.SS,20250630,0.13115127,0.45172456,2.7895107,3.3723865
000651.SZ,20250630,0.16638678,0.48468444,2.7095861,3.3606572
002270.SZ,20250630,0.12482016,0.34363434,2.8844736,3.3529282
002154.SZ,20250630,0.2108457,0.57026255,2.5684175,3.349526
000725.SZ,20250630,0.16997294,0.4861733,2.6845124,3.3406587
002063.SZ,20250630,0.19426708,0.3083016,2.8222895,3.3248582
002144.SZ,20250630,0.23960637,0.31287447,2.7719166,3.3243976
601336.SS,20250630,0.20105185,0.49300262,2.5963826,3.2904372
301020.SZ,20250630,0.19316994,0.6309122,2.4620914,3.2861736
300760.SZ,20250630,0.24699803,0.52883303,2.475005,3.250836
601068.SS,20250630,0.2118323,0.44550797,2.5576832,3.2150235
002273.SZ,20250630,0.1754361,0.38213554,2.6397963,3.197368
002056.SZ,20250630,0.1848294,0.5757487,2.4273334,3.1879115
600285.SS,20250630,0.03883292,0.30879703,2.834055,3.181685
002241.SZ,20250630,0.16622053,0.4911708,2.4547262,3.1121175
300394.SZ,20250630,0.14149399,0.48101905,2.463167,3.08568
603367.SS,20250630,0.27013564,0.26886907,2.5366807,3.0756855
603596.SS,20250630,0.18421288,0.23873064,2.648017,3.0709605
002032.SZ,20250630,0.19709305,0.48079,2.3916366,3.0695195
300832.SZ,20250630,0.1242571,0.56952477,2.3676734,3.0614552
002803.SZ,20250630,0.27599302,0.3755904,2.3927288,3.0443122
300470.SZ,20250630,0.02739342,0.63956416,2.35712,3.0240777
300570.SZ,20250630,0.19619851,0.55210066,2.2735634,3.0218625
300590.SZ,20250630,0.12667017,0.58732414,2.2996802,3.0136745
601000.SS,20250630,0.12816906,0.31912515,2.5552497,3.002544
002262.SZ,20250630,0.19144036,0.49898818,2.2855344,2.9759629
300743.SZ,20250630,0.16550757,0.37354848,2.4041457,2.9432018
601958.SS,20250630,0.16231193,0.34981367,2.4149315,2.9270573
002777.SZ,20250630,0.23596938,0.4201139,2.2482836,2.904367
000650.SZ,20250630,0.16823934,0.39960715,2.3334343,2.9012809
000858.SZ,20250630,0.2168717,0.40562436,2.2673223,2.8898184
000798.SZ,20250630,-0.0676427,-1.1478744,4.099765,2.8842478
600060.SS,20250630,0.24386455,0.3449361,2.2926967,2.8814974
300357.SZ,20250630,0.19929169,0.35764495,2.3234665,2.880403
603676.SS,20250630,0.1070316,0.53393316,2.226749,2.8677137
603279.SS,20250630,0.007657308,0.7172941,2.1229606,2.8479118
601019.SS,20250630,0.15762268,0.47133592,2.2151012,2.84406
300627.SZ,20250630,0.15753238,0.39505592,2.2806573,2.8332455
600720.SS,20250630,0.24824266,0.3620803,2.2132466,2.8235695
002802.SZ,20250630,0.1439948,0.54225516,2.136446,2.822696
603868.SS,20250630,0.09529911,0.5346496,2.1875324,2.817481
002836.SZ,20250630,0.10731532,0.30215403,2.3953967,2.804866
300722.SZ,20250630,0.038803626,0.22220019,2.5369835,2.7979872
600059.SS,20250630,0.15768583,0.43293568,2.2034078,2.7940292
603855.SS,20250630,0.18414284,0.27141783,2.3369913,2.792552
603321.SS,20250630,0.25119105,0.21775416,2.3217168,2.790662
002996.SZ,20250630,0.16751574,0.70463896,1.9125829,2.7847376
601928.SS,20250630,0.23161505,0.28364965,2.2546093,2.769874
600809.SS,20250630,0.07794483,0.32541004,2.3648689,2.7682238
300403.SZ,20250630,0.15954168,0.28333536,2.3078277,2.7507048
603203.SS,20250630,0.16595171,0.35466966,2.2299466,2.750568
002826.SZ,20250630,0.16762216,0.42775664,2.1478949,2.7432737
000423.SZ,20250630,0.1357988,0.4054561,2.1952152,2.7364702
600582.SS,20250630,0.18517308,0.42422494,2.1261563,2.7355542
000408.SZ,20250630,0.15782249,0.3008838,2.2720728,2.7307792
300002.SZ,20250630,0.18689425,0.38190445,2.1539373,2.7227361
002001.SZ,20250630,0.1935427,0.4204392,2.093447,2.707429
002817.SZ,20250630,0.1259061,0.4426597,2.1383758,2.7069416
300306.SZ,20250630,0.17684652,0.29397795,2.2262807,2.6971052
000988.SZ,20250630,0.21731861,0.4451197,2.030906,2.6933444
002782.SZ,20250630,0.04493316,0.14946958,2.4951658,2.6895685
600563.SS,20250630,0.20622452,0.28572914,2.1848102,2.6767638
300628.SZ,20250630,0.03213762,0.06606671,2.5756512,2.6738555
002093.SZ,20250630,0.1370733,0.13828418,2.3900857,2.6654432
601882.SS,20250630,0.21348552,0.45088074,1.9955862,2.6599524
002790.SZ,20250630,0.2766654,0.38763693,1.994416,2.6587183
603444.SS,20250630,0.19071214,0.33608642,2.1316047,2.6584032
600517.SS,20250630,0.14980467,0.34594628,2.158956,2.654707
000425.SZ,20250630,0.17227532,0.3310673,2.1418166,2.6451592
688300.SS,20250630,0.18240531,0.27684698,2.1793828,2.6386352
600562.SS,20250630,0.20053594,0.4398791,1.9756925,2.6161075
002756.SZ,20250630,0.15691034,0.32241765,2.1362672,2.615595
300171.SZ,20250630,0.08454688,0.8065119,1.7239268,2.6149855
603129.SS,20250630,0.10116671,0.4383175,2.0646076,2.604092
300018.SZ,20250630,0.20277642,0.41750202,1.9838109,2.6040893
002393.SZ,20250630,0.21904667,0.45590684,1.9256358,2.6005893
603515.SS,20250630,0.17468883,0.19340214,2.2303934,2.5984845
601098.SS,20250630,0.18187867,0.36645487,2.0439348,2.5922685
002555.SZ,20250630,0.16194452,0.26290318,2.1667135,2.5915613
300354.SZ,20250630,0.102785036,0.6543319,1.8323965,2.5895135
300634.SZ,20250630,0.12652539,0.3773975,2.0850935,2.5890164
605183.SS,20250630,0.1628009,0.3593339,2.0656152,2.58775
002901.SZ,20250630,0.09570633,0.60117805,1.8879373,2.5848217
300661.SZ,20250630,0.22059833,0.44058576,1.9188821,2.5800662
600406.SS,20250630,0.18331255,0.32049885,2.075531,2.5793424
688395.SS,20250630,0.104149446,0.28945735,2.164519,2.558126
000538.SZ,20250630,0.16816054,0.3745061,2.0057292,2.5483959
300705.SZ,20250630,0.25876555,0.35219845,1.9271035,2.5380676
002249.SZ,20250630,0.12549244,0.48990747,1.9161925,2.5315924
002028.SZ,20250630,0.23292623,0.5023129,1.7948065,2.5300455
600967.SS,20250630,0.11133914,0.3897452,2.0283666,2.529451
000612.SZ,20250630,0.07530467,0.2900369,2.1610575,2.5263991
002612.SZ,20250630,0.19055048,0.31543532,2.010786,2.5167718
002043.SZ,20250630,0.16857938,0.44746026,1.8964257,2.5124655
300012.SZ,20250630,0.16001715,0.23054913,2.1209,2.5114663
300073.SZ,20250630,0.05436458,0.5737089,1.8802795,2.508353
601860.SS,20250630,0.21405216,0.43605658,1.855593,2.5057018
300548.SZ,20250630,0.26419547,0.2639173,1.9752786,2.5033913
002236.SZ,20250630,0.17249751,0.51804435,1.8073087,2.4978504
300400.SZ,20250630,0.21705188,0.35555372,1.9233012,2.4959068
600872.SS,20250630,0.15521099,0.4281033,1.9091814,2.4924955
002478.SZ,20250630,0.11301394,0.1407598,2.236952,2.4907258
002035.SZ,20250630,0.10969336,0.1839759,2.194365,2.4880342
002283.SZ,20250630,0.084506914,0.16138336,2.2382927,2.484183
