symbol,endDate,one,three,seven,growth_death
000885.SZ,20250630,0.042978495,0.11530393,0.546566,0.7048484
601825.SS,20250630,0.002105683,0.18224025,0.367004,0.55134994
002126.SZ,20250630,0.019208431,0.088314205,0.18615839,0.29368103
600000.SS,20250630,0.024882764,0.08821043,0.15985903,0.27295223
601336.SS,20250630,0.09365219,0.047059268,0.07698688,0.21769834
300079.SZ,20250630,0.072383344,0.05009967,-0.040494353,0.08198866
601818.SS,20250630,-0.2667345,0.081608206,0.21460298,0.029476672
601997.SS,20250630,0.0073055625,-0.029400766,0.019781202,-0.0023140013
000333.SZ,20250630,-0.05605954,-0.090075165,0.14192626,-0.0042084455
002276.SZ,20250630,-0.014730051,0.0029667616,-0.04007536,-0.05183865
002250.SZ,20250630,0.10766131,0.07264143,-0.23518239,-0.05487965
601899.SS,20250630,0.024359927,-0.012954414,-0.08191243,-0.070506915
600482.SS,20250630,0.0015170574,-0.06923437,-0.06227553,-0.12999284
002807.SZ,20250630,-0.12455684,-0.08369139,0.039532453,-0.16871578
003816.SZ,20250630,-0.13647316,-0.09202546,0.057735026,-0.1707636
000661.SZ,20250630,0.12068376,0.104537815,-0.45572585,-0.23050427
002128.SZ,20250630,0.0023797303,-0.028939247,-0.24801636,-0.2745759
002416.SZ,20250630,-0.11708823,-0.15284449,-0.030846804,-0.30077952
600690.SS,20250630,-0.06976843,-0.114546165,-0.12488067,-0.30919528
002311.SZ,20250630,0.0035156757,-0.14077367,-0.1917996,-0.32905757
601975.SS,20250630,-0.07528946,-0.057115585,-0.20012864,-0.3325337
603363.SS,20250630,0.21609187,-0.10422899,-0.4525345,-0.3406716
300371.SZ,20250630,-0.0076312274,-0.07894218,-0.27967906,-0.36625248
002050.SZ,20250630,-0.1220049,-0.13530992,-0.17659318,-0.433908
000683.SZ,20250630,-0.12595266,-0.14050986,-0.18547678,-0.45193928
601609.SS,20250630,-0.14962351,-0.13030829,-0.17214946,-0.45208126
600196.SS,20250630,-0.12020899,-0.21499738,-0.13086456,-0.46607095
002966.SZ,20250630,-0.12695163,-0.4575492,0.10900867,-0.47549218
000725.SZ,20250630,-0.16810375,-0.14254746,-0.16921774,-0.47986895
600518.SS,20250630,-0.23191367,-0.3346678,0.07709381,-0.48948768
300059.SZ,20250630,-0.05142802,-0.19203168,-0.24876298,-0.49222267
601991.SS,20250630,-0.1044931,-0.12503402,-0.2628807,-0.49240783
000795.SZ,20250630,0.0070896894,-0.16299362,-0.34157965,-0.49748358
600027.SS,20250630,-0.21202171,-0.20327777,-0.091278166,-0.5065776
000651.SZ,20250630,-0.12268156,-0.18405697,-0.20590779,-0.5126463
601166.SS,20250630,0.029013097,-0.2043072,-0.36657006,-0.54186416
002246.SZ,20250630,-3.360212e-05,0.038296282,-0.5978339,-0.5595712
002601.SZ,20250630,-0.19533691,-0.08452141,-0.29032785,-0.57018614
600030.SS,20250630,-0.22964448,-0.2894685,-0.065896064,-0.585009
000901.SZ,20250630,-0.06328736,-0.2922334,-0.23131472,-0.5868355
300631.SZ,20250630,-0.049865246,-0.25544554,-0.29791108,-0.6032219
002612.SZ,20250630,-0.23385262,-0.21603277,-0.15693676,-0.60682213
002729.SZ,20250630,-0.07845627,-0.17743304,-0.35215613,-0.60804546
601229.SS,20250630,-0.09582721,-0.15493816,-0.358373,-0.60913837
600535.SS,20250630,-0.06806089,-0.17701174,-0.3742703,-0.6193429
601127.SS,20250630,-0.11904876,-0.25914526,-0.2518872,-0.63008124
600057.SS,20250630,-0.16356593,-0.24920206,-0.21807064,-0.63083863
000623.SZ,20250630,-0.10782142,-0.24062237,-0.2844294,-0.6328732
002023.SZ,20250630,-0.123143435,-0.21388184,-0.29687276,-0.633898
002376.SZ,20250630,-0.06917204,-0.19531375,-0.3744198,-0.6389056
300705.SZ,20250630,-0.106277466,-0.17949852,-0.35390866,-0.6396847
002517.SZ,20250630,0.0017480105,-0.20956415,-0.43770456,-0.6455207
600795.SS,20250630,-0.22337954,-0.24327187,-0.18102352,-0.6476749
300360.SZ,20250630,-0.16542421,-0.31295243,-0.17040601,-0.6487826
002558.SZ,20250630,-0.12768507,-0.1284515,-0.39419228,-0.6503289
000880.SZ,20250630,-0.006491378,-0.14393416,-0.5036535,-0.6540791
002803.SZ,20250630,-0.15001357,-0.21198244,-0.308832,-0.670828
600183.SS,20250630,-0.18178701,-0.19771339,-0.2957551,-0.6752555
601600.SS,20250630,-0.17580867,-0.22925436,-0.27529278,-0.6803558
600061.SS,20250630,-0.16984257,-0.28427508,-0.23512721,-0.68924487
002546.SZ,20250630,-0.03295943,-0.19939429,-0.45964888,-0.6920026
601858.SS,20250630,-0.08359973,-0.34296852,-0.26651156,-0.6930798
002202.SZ,20250630,-0.18007097,-0.26749176,-0.24593388,-0.6934966
603586.SS,20250630,-0.14779831,-0.23022152,-0.31626114,-0.694281
601728.SS,20250630,-0.17897718,-0.23856452,-0.2924121,-0.7099538
002203.SZ,20250630,-0.24343675,-0.27228028,-0.19440082,-0.7101178
600572.SS,20250630,-0.13675825,-0.22538552,-0.3488955,-0.71103925
600444.SS,20250630,-0.176356,-0.2343954,-0.30680686,-0.71755826
300138.SZ,20250630,-0.21923819,-0.26183048,-0.23737963,-0.7184483
002555.SZ,20250630,-0.17531294,-0.25211963,-0.2927552,-0.7201878
000833.SZ,20250630,-0.12178847,-0.24424016,-0.36083335,-0.72686195
300398.SZ,20250630,-0.05698991,-0.24987394,-0.42585403,-0.7327179
600131.SS,20250630,-0.12634802,-0.17867766,-0.42858496,-0.73361063
002393.SZ,20250630,-0.121542096,-0.20792624,-0.4098357,-0.73930407
000758.SZ,20250630,-0.12358366,-0.2909498,-0.32750532,-0.7420387
002056.SZ,20250630,-0.15373711,-0.2597767,-0.32872957,-0.7422434
002472.SZ,20250630,-0.19669,-0.25420475,-0.29421484,-0.74510956
688109.SS,20250630,-0.1168021,-0.06305769,-0.5659667,-0.7458265
002232.SZ,20250630,-0.17763796,-0.2458423,-0.3226411,-0.7461214
002273.SZ,20250630,-0.16871679,-0.21500504,-0.36400083,-0.7477226
600378.SS,20250630,-0.16593164,-0.23817839,-0.34621683,-0.7503269
603501.SS,20250630,-0.13852146,-0.20347697,-0.41794834,-0.75994676
000708.SZ,20250630,-0.1772525,-0.26578933,-0.3181615,-0.7612033
603288.SS,20250630,-0.1889479,-0.25977385,-0.31539088,-0.76411265
002183.SZ,20250630,-0.20120722,-0.3010747,-0.2638898,-0.7661717
300563.SZ,20250630,-0.18352649,-0.20534638,-0.38063177,-0.76950467
600398.SS,20250630,-0.14899853,-0.21708795,-0.41411385,-0.78020036
001202.SZ,20250630,-0.15209669,-0.2616181,-0.3703833,-0.7840981
002583.SZ,20250630,-0.23976564,-0.16642988,-0.3790885,-0.78528404
000756.SZ,20250630,-0.20510077,-0.28117666,-0.30027378,-0.78655124
000039.SZ,20250630,-0.19323671,-0.29028594,-0.30373943,-0.7872621
600570.SS,20250630,-0.10991475,-0.3375635,-0.34406865,-0.79154694
002352.SZ,20250630,-0.23606026,-0.28141177,-0.28466448,-0.80213654
603678.SS,20250630,-0.18800989,-0.25423086,-0.36384112,-0.8060819
000729.SZ,20250630,-0.13091353,-0.31259736,-0.36885273,-0.8123636
002545.SZ,20250630,-0.19378592,-0.30159265,-0.3204797,-0.81585824
600511.SS,20250630,-0.16542736,-0.24395815,-0.40675068,-0.8161362
002670.SZ,20250630,-0.2222045,-0.31091893,-0.28504118,-0.8181646
300009.SZ,20250630,-0.21548058,-0.27330285,-0.330984,-0.8197674
300200.SZ,20250630,-0.29792804,-0.27754796,-0.24431914,-0.81979513
002083.SZ,20250630,-0.25817496,-0.34962058,-0.21256897,-0.8203645
301011.SZ,20250630,-0.25136465,-0.3375662,-0.23188075,-0.8208116
002410.SZ,20250630,-0.12885684,-0.2631092,-0.429363,-0.82132906
600674.SS,20250630,-0.24027768,-0.2958666,-0.28702283,-0.8231671
600885.SS,20250630,-0.22145092,-0.23395759,-0.36993626,-0.8253448
000538.SZ,20250630,-0.17061849,-0.28218687,-0.3790241,-0.8318294
