symbol,endDate,three
600835.SS,20250630,0.9112202
603312.SS,20250630,0.7925392
603515.SS,20250630,0.78978705
603416.SS,20250630,0.7884339
600415.SS,20250630,0.7876869
002322.SZ,20250630,0.78739697
688395.SS,20250630,0.78726405
600517.SS,20250630,0.78569156
300371.SZ,20250630,0.7856058
688075.SS,20250630,0.78374827
300403.SZ,20250630,0.7833156
600570.SS,20250630,0.7827786
300858.SZ,20250630,0.7818341
600817.SS,20250630,0.7795701
300724.SZ,20250630,0.77766114
601928.SS,20250630,0.7763071
300820.SZ,20250630,0.7744863
002117.SZ,20250630,0.7738513
600862.SS,20250630,0.7705699
000719.SZ,20250630,0.7699541
002518.SZ,20250630,0.7686944
603617.SS,20250630,0.7674242
301586.SZ,20250630,0.7669207
300389.SZ,20250630,0.76465493
600329.SS,20250630,0.7641949
603181.SS,20250630,0.76368755
688016.SS,20250630,0.76250076
300073.SZ,20250630,0.7612127
603193.SS,20250630,0.7607097
688630.SS,20250630,0.7600714
000409.SZ,20250630,0.7590864
688700.SS,20250630,0.7590339
000768.SZ,20250630,0.75341374
601799.SS,20250630,0.75295305
300939.SZ,20250630,0.7515694
002410.SZ,20250630,0.7513869
600479.SS,20250630,0.75074446
001222.SZ,20250630,0.75039065
603915.SS,20250630,0.74844265
688270.SS,20250630,0.74830735
600338.SS,20250630,0.74720114
688318.SS,20250630,0.74654585
002028.SZ,20250630,0.74545854
000932.SZ,20250630,0.74088776
600598.SS,20250630,0.73990047
300360.SZ,20250630,0.73880774
600268.SS,20250630,0.73849076
600066.SS,20250630,0.7377825
600276.SS,20250630,0.7373645
002755.SZ,20250630,0.7371071
603166.SS,20250630,0.73686594
002508.SZ,20250630,0.7355612
001202.SZ,20250630,0.7324497
600528.SS,20250630,0.7317109
002817.SZ,20250630,0.7316183
601018.SS,20250630,0.7308683
000880.SZ,20250630,0.7303989
002543.SZ,20250630,0.7254951
688029.SS,20250630,0.72524023
600295.SS,20250630,0.72431225
000538.SZ,20250630,0.72294515
300573.SZ,20250630,0.7217694
002526.SZ,20250630,0.7216994
605020.SS,20250630,0.72168237
600132.SS,20250630,0.72124285
601113.SS,20250630,0.72097623
600385.SS,20220331,0.72041297
000786.SZ,20250630,0.7176025
600794.SS,20250630,0.71724963
300018.SZ,20250630,0.7171353
603298.SS,20250630,0.7164595
688256.SS,20250630,0.7163452
002335.SZ,20250630,0.71628207
601098.SS,20250630,0.71432364
300306.SZ,20250630,0.7129932
002315.SZ,20250630,0.7121702
300628.SZ,20250630,0.71198344
688358.SS,20250630,0.7117348
603271.SS,20250630,0.7109429
600444.SS,20250630,0.7104284
688667.SS,20250630,0.71018964
003025.SZ,20250630,0.7100231
002393.SZ,20250630,0.7096196
688789.SS,20250630,0.7081366
002043.SZ,20250630,0.70766956
002843.SZ,20250630,0.7076023
688267.SS,20250630,0.7074336
603089.SS,20250630,0.7066211
605080.SS,20250630,0.70525193
002188.SZ,20250630,0.7051757
002262.SZ,20250630,0.70477796
000423.SZ,20250630,0.7023695
002734.SZ,20250630,0.7021245
301608.SZ,20250630,0.7015004
000524.SZ,20250630,0.70068634
300831.SZ,20250630,0.6994155
300643.SZ,20250630,0.6986616
688396.SS,20250630,0.69836974
301016.SZ,20250630,0.69804937
603697.SS,20250630,0.69677544
603816.SS,20250630,0.6962173
688389.SS,20250630,0.6950174
605066.SS,20250630,0.69434184
301183.SZ,20250630,0.6941177
